tvl_file_name,tvl_license_number,tvl_predict_pct,tvl_label,tvl_confidence,tvl_latitude,tvl_longitude,tvl_remark,metode,tvl_capture_datetime
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:26
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:26
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:27
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:28
DataVideo\B1170CKZ.mp4,0CKZ,0,,0,0,0,,Small,2025-07-15 13:36:29
DataVideo\B1170CKZ.mp4,B,0,,0,0,0,,Small,2025-07-15 13:36:30
DataVideo\B1170CKZ.mp4,CKZ,0,,0,0,0,,Small,2025-07-15 13:36:31
DataVideo\B1170CKZ.mp4,CKZ,0,,0,0,0,,Small,2025-07-15 13:36:32
DataVideo\B1170CKZ.mp4,1170CKL,0,,0,0,0,,Small,2025-07-15 13:36:33
DataVideo\B1196KR.mp4,1196KR,0,,0,0,0,,Small,2025-07-15 13:37:46
DataVideo\B1196KR.mp4,H,0,,0,0,0,,Small,2025-07-15 13:37:46
DataVideo\B1196KR.mp4,1196KR,0,,0,0,0,,Small,2025-07-15 13:37:47
DataVideo\B1196KR.mp4,H1196KR,0,,0,0,0,,Small,2025-07-15 13:37:48
DataVideo\B1196KR.mp4,H1196KR,0,,0,0,0,,Small,2025-07-15 13:37:49
DataVideo\B1196KR.mp4,H,0,,0,0,0,,Small,2025-07-15 13:37:50
DataVideo\B1196KR.mp4,H,0,,0,0,0,,Small,2025-07-15 13:37:50
DataVideo\B1196KR.mp4,H,0,,0,0,0,,Small,2025-07-15 13:37:52
DataVideo\B1196KR.mp4,1196,0,,0,0,0,,Small,2025-07-15 13:37:53
DataVideo\B1196KR.mp4,1196,0,,0,0,0,,Small,2025-07-15 13:37:54
DataVideo\B1196KR.mp4,KR,0,,0,0,0,,Small,2025-07-15 13:37:55
DataVideo\B1196KR.mp4,KR,0,,0,0,0,,Small,2025-07-15 13:37:56
DataVideo\B1196KR.mp4,1196,0,,0,0,0,,Small,2025-07-15 13:37:57
DataVideo\B1196KR.mp4,KR,0,,0,0,0,,Small,2025-07-15 13:37:59
DataVideo\B1196KR.mp4,DM,0,,0,0,0,,Small,2025-07-15 13:38:01
DataVideo\B1196KR.mp4,PMS,0,,0,0,0,,Small,2025-07-15 13:38:31
DataVideo\B1196KR.mp4,PMS,0,,0,0,0,,Small,2025-07-15 13:38:33
DataVideo\B1196KR.mp4,PMS,0,,0,0,0,,Small,2025-07-15 13:38:38
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:51
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:52
DataVideo\B1607WCO.mp4,16O7,0,,0,0,0,,Small,2025-07-15 13:38:53
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:54
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:55
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:55
DataVideo\B1607WCO.mp4,16O7,0,,0,0,0,,Small,2025-07-15 13:38:56
DataVideo\B1607WCO.mp4,16O7,0,,0,0,0,,Small,2025-07-15 13:38:56
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:58
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:58
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:38:59
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:00
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:01
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:02
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:02
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:03
DataVideo\B1607WCO.mp4,B1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:05
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:06
DataVideo\B1607WCO.mp4,1607WCO,0,,0,0,0,,Small,2025-07-15 13:39:07
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:30
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:30
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:31
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:32
DataVideo\B2809WGY.mp4,B2809WGY,0,,0,0,0,,Small,2025-07-15 13:39:33
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:33
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:34
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:35
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:35
DataVideo\B2809WGY.mp4,B2809HGY,0,,0,0,0,,Small,2025-07-15 13:39:36
